simulation,scenario,mrr,retained_customers,churned_customers,retention_rate,arpu,revenue_change_pct,tier_distribution
0,current_35,8015,229,0,0.9956521739130435,35.0,-0.43478260869565216,{35: 229}
1,current_35,8015,229,0,0.9956521739130435,35.0,-0.43478260869565216,{35: 229}
2,current_35,8015,229,0,0.9956521739130435,35.0,-0.43478260869565216,{35: 229}
3,current_35,7945,227,2,0.9869565217391304,35.0,-1.3043478260869565,{35: 227}
4,current_35,8015,229,0,0.9956521739130435,35.0,-0.43478260869565216,{35: 229}
5,current_35,8015,229,0,0.9956521739130435,35.0,-0.43478260869565216,{35: 229}
6,current_35,7980,228,1,0.991304347826087,35.0,-0.8695652173913043,{35: 228}
7,current_35,7945,227,2,0.9869565217391304,35.0,-1.3043478260869565,{35: 227}
8,current_35,7910,226,3,0.9826086956521739,35.0,-1.7391304347826086,{35: 226}
9,current_35,8015,229,0,0.9956521739130435,35.0,-0.43478260869565216,{35: 229}
10,current_35,8015,229,0,0.9956521739130435,35.0,-0.43478260869565216,{35: 229}
11,current_35,7980,228,1,0.991304347826087,35.0,-0.8695652173913043,{35: 228}
12,current_35,7910,226,3,0.9826086956521739,35.0,-1.7391304347826086,{35: 226}
13,current_35,8015,229,0,0.9956521739130435,35.0,-0.43478260869565216,{35: 229}
14,current_35,8015,229,0,0.9956521739130435,35.0,-0.43478260869565216,{35: 229}
15,current_35,7980,228,1,0.991304347826087,35.0,-0.8695652173913043,{35: 228}
16,current_35,8015,229,0,0.9956521739130435,35.0,-0.43478260869565216,{35: 229}
17,current_35,8015,229,0,0.9956521739130435,35.0,-0.43478260869565216,{35: 229}
18,current_35,7980,228,1,0.991304347826087,35.0,-0.8695652173913043,{35: 228}
19,current_35,8015,229,0,0.9956521739130435,35.0,-0.43478260869565216,{35: 229}
20,current_35,7980,228,1,0.991304347826087,35.0,-0.8695652173913043,{35: 228}
21,current_35,7945,227,2,0.9869565217391304,35.0,-1.3043478260869565,{35: 227}
22,current_35,7980,228,1,0.991304347826087,35.0,-0.8695652173913043,{35: 228}
23,current_35,7945,227,2,0.9869565217391304,35.0,-1.3043478260869565,{35: 227}
24,current_35,8015,229,0,0.9956521739130435,35.0,-0.43478260869565216,{35: 229}
25,current_35,8015,229,0,0.9956521739130435,35.0,-0.43478260869565216,{35: 229}
26,current_35,7910,226,3,0.9826086956521739,35.0,-1.7391304347826086,{35: 226}
27,current_35,7980,228,1,0.991304347826087,35.0,-0.8695652173913043,{35: 228}
28,current_35,7945,227,2,0.9869565217391304,35.0,-1.3043478260869565,{35: 227}
29,current_35,8015,229,0,0.9956521739130435,35.0,-0.43478260869565216,{35: 229}
30,current_35,8015,229,0,0.9956521739130435,35.0,-0.43478260869565216,{35: 229}
31,current_35,8015,229,0,0.9956521739130435,35.0,-0.43478260869565216,{35: 229}
32,current_35,8015,229,0,0.9956521739130435,35.0,-0.43478260869565216,{35: 229}
33,current_35,8015,229,0,0.9956521739130435,35.0,-0.43478260869565216,{35: 229}
34,current_35,7980,228,1,0.991304347826087,35.0,-0.8695652173913043,{35: 228}
35,current_35,7980,228,1,0.991304347826087,35.0,-0.8695652173913043,{35: 228}
36,current_35,7980,228,1,0.991304347826087,35.0,-0.8695652173913043,{35: 228}
37,current_35,8015,229,0,0.9956521739130435,35.0,-0.43478260869565216,{35: 229}
38,current_35,8015,229,0,0.9956521739130435,35.0,-0.43478260869565216,{35: 229}
39,current_35,7980,228,1,0.991304347826087,35.0,-0.8695652173913043,{35: 228}
