Scenario,Tier,Monthly_Price,Customers_Month_0,MRR_Month_0,Customers_Month_1,MRR_Month_1,Customers_Month_2,MRR_Month_2,Customers_Month_3,MRR_Month_3,Customers_Month_6,MRR_Month_6,Customers_Month_12,MRR_Month_12
Current_State,All,35.00,230,8050.00,214,7490.00,199,6965.00,185,6477.50,157,5495.00,114,3990.00

Scenario_1_Conservative,Individual,29.00,138,4002.00,128,3712.00,119,3451.00,111,3219.00,94,2726.00,68,1972.00
Scenario_1_Conservative,Team,79.00,69,5451.00,64,5056.00,60,4740.00,56,4424.00,47,3713.00,34,2686.00
Scenario_1_Conservative,Enterprise,199.00,18,3582.00,17,3383.00,16,3184.00,15,2985.00,13,2587.00,9,1791.00
Scenario_1_Conservative,Dedicated,499.00,5,2495.00,5,2495.00,5,2495.00,5,2495.00,4,1996.00,3,1497.00
Scenario_1_Conservative,TOTAL,N/A,230,15530.00,214,14646.00,200,13870.00,187,13123.00,158,11022.00,114,7946.00

Scenario_2_Moderate,Individual,25.00,138,3450.00,128,3200.00,119,2975.00,111,2775.00,94,2350.00,68,1700.00
Scenario_2_Moderate,Team,89.00,69,6141.00,64,5696.00,60,5340.00,56,4984.00,47,4183.00,34,3026.00
Scenario_2_Moderate,Enterprise,229.00,18,4122.00,17,3893.00,16,3664.00,15,3435.00,13,2977.00,9,2061.00
Scenario_2_Moderate,Dedicated,599.00,5,2995.00,5,2995.00,5,2995.00,5,2995.00,4,2396.00,3,1797.00
Scenario_2_Moderate,TOTAL,N/A,230,16708.00,214,15784.00,200,14974.00,187,14189.00,158,11906.00,114,8584.00

Scenario_3_Aggressive,Individual,19.00,138,2622.00,128,2432.00,119,2261.00,111,2109.00,94,1786.00,68,1292.00
Scenario_3_Aggressive,Team,99.00,69,6831.00,64,6336.00,60,5940.00,56,5544.00,47,4653.00,34,3366.00
Scenario_3_Aggressive,Enterprise,279.00,18,5022.00,17,4743.00,16,4464.00,15,4185.00,13,3627.00,9,2511.00
Scenario_3_Aggressive,Dedicated,749.00,5,3745.00,5,3745.00,5,3745.00,5,3745.00,4,2996.00,3,2247.00
Scenario_3_Aggressive,TOTAL,N/A,230,18220.00,214,17256.00,200,16410.00,187,15583.00,158,13062.00,114,9416.00

Scenario_4_Premium,Individual,35.00,138,4830.00,128,4480.00,119,4165.00,111,3885.00,94,3290.00,68,2380.00
Scenario_4_Premium,Team,119.00,69,8211.00,64,7616.00,60,7140.00,56,6664.00,47,5593.00,34,4046.00
Scenario_4_Premium,Enterprise,299.00,18,5382.00,17,5083.00,16,4784.00,15,4485.00,13,3887.00,9,2691.00
Scenario_4_Premium,Dedicated,899.00,5,4495.00,5,4495.00,5,4495.00,5,4495.00,4,3596.00,3,2697.00
Scenario_4_Premium,TOTAL,N/A,230,22918.00,214,21674.00,200,20584.00,187,19529.00,158,16366.00,114,11814.00

Scenario_5_Hybrid,Individual,22.00,138,3036.00,128,2816.00,119,2618.00,111,2442.00,94,2068.00,68,1496.00
Scenario_5_Hybrid,Team,95.00,69,6555.00,64,6080.00,60,5700.00,56,5320.00,47,4465.00,34,3230.00
Scenario_5_Hybrid,Enterprise,249.00,18,4482.00,17,4233.00,16,3984.00,15,3735.00,13,3237.00,9,2241.00
Scenario_5_Hybrid,Dedicated,699.00,5,3495.00,5,3495.00,5,3495.00,5,3495.00,4,2796.00,3,2097.00
Scenario_5_Hybrid,TOTAL,N/A,230,17568.00,214,16624.00,200,15797.00,187,14992.00,158,12566.00,114,9064.00
