Scenario,Tier,Monthly_Price,M0_Customers,M0_MRR,M1_Customers,M1_MRR,M2_Customers,M2_MRR,M3_Customers,M3_MRR,M4_Customers,M4_MRR,M5_Customers,M5_MRR,M6_Customers,M6_MRR,M7_Customers,M7_MRR,M8_Customers,M8_MRR,M9_Customers,M9_MRR,M10_Customers,M10_MRR,M11_Customers,M11_MRR,M12_Customers,M12_MRR
Current_State,All,35.00,230,8050.00,214,7490.00,199,6965.00,185,6477.50,172,6020.00,160,5600.00,149,5215.00,139,4865.00,129,4515.00,120,4200.00,112,3920.00,104,3640.00,97,3395.00

Scenario_1_Conservative,Individual,29.00,138,4002.00,128,3712.00,119,3451.00,111,3219.00,103,2987.00,96,2784.00,89,2581.00,83,2407.00,77,2233.00,72,2088.00,67,1943.00,62,1798.00,58,1682.00
Scenario_1_Conservative,Team,79.00,69,5451.00,64,5056.00,60,4740.00,56,4424.00,52,4108.00,48,3792.00,45,3555.00,42,3318.00,39,3081.00,36,2844.00,34,2686.00,32,2528.00,30,2370.00
Scenario_1_Conservative,Enterprise,199.00,18,3582.00,17,3383.00,16,3184.00,15,2985.00,14,2786.00,13,2587.00,12,2388.00,11,2189.00,10,1990.00,10,1990.00,9,1791.00,8,1592.00,8,1592.00
Scenario_1_Conservative,Dedicated,499.00,5,2495.00,5,2495.00,5,2495.00,5,2495.00,5,2495.00,4,1996.00,4,1996.00,4,1996.00,4,1996.00,4,1996.00,4,1996.00,3,1497.00,3,1497.00
Scenario_1_Conservative,TOTAL,N/A,230,15530.00,214,14646.00,200,13870.00,187,13123.00,174,12376.00,161,11159.00,150,10520.00,140,9910.00,130,9300.00,122,8918.00,114,8416.00,105,7415.00,99,7141.00

Scenario_2_Moderate,Individual,25.00,138,3450.00,128,3200.00,119,2975.00,111,2775.00,103,2575.00,96,2400.00,89,2225.00,83,2075.00,77,1925.00,72,1800.00,67,1675.00,62,1550.00,58,1450.00
Scenario_2_Moderate,Team,89.00,69,6141.00,64,5696.00,60,5340.00,56,4984.00,52,4628.00,48,4272.00,45,4005.00,42,3738.00,39,3471.00,36,3204.00,34,3026.00,32,2848.00,30,2670.00
Scenario_2_Moderate,Enterprise,229.00,18,4122.00,17,3893.00,16,3664.00,15,3435.00,14,3206.00,13,2977.00,12,2748.00,11,2519.00,10,2290.00,10,2290.00,9,2061.00,8,1832.00,8,1832.00
Scenario_2_Moderate,Dedicated,599.00,5,2995.00,5,2995.00,5,2995.00,5,2995.00,5,2995.00,4,2396.00,4,2396.00,4,2396.00,4,2396.00,4,2396.00,4,2396.00,3,1797.00,3,1797.00
Scenario_2_Moderate,TOTAL,N/A,230,16708.00,214,15784.00,200,14974.00,187,14189.00,174,13404.00,161,12045.00,150,11374.00,140,10728.00,130,10082.00,122,9690.00,114,9158.00,105,8027.00,99,7749.00

Scenario_3_Aggressive,Individual,19.00,138,2622.00,128,2432.00,119,2261.00,111,2109.00,103,1957.00,96,1824.00,89,1691.00,83,1577.00,77,1463.00,72,1368.00,67,1273.00,62,1178.00,58,1102.00
Scenario_3_Aggressive,Team,99.00,69,6831.00,64,6336.00,60,5940.00,56,5544.00,52,5148.00,48,4752.00,45,4455.00,42,4158.00,39,3861.00,36,3564.00,34,3366.00,32,3168.00,30,2970.00
Scenario_3_Aggressive,Enterprise,279.00,18,5022.00,17,4743.00,16,4464.00,15,4185.00,14,3906.00,13,3627.00,12,3348.00,11,3069.00,10,2790.00,10,2790.00,9,2511.00,8,2232.00,8,2232.00
Scenario_3_Aggressive,Dedicated,749.00,5,3745.00,5,3745.00,5,3745.00,5,3745.00,5,3745.00,4,2996.00,4,2996.00,4,2996.00,4,2996.00,4,2996.00,4,2996.00,3,2247.00,3,2247.00
Scenario_3_Aggressive,TOTAL,N/A,230,18220.00,214,17256.00,200,16410.00,187,15583.00,174,14756.00,161,13199.00,150,12490.00,140,11800.00,130,11110.00,122,10718.00,114,10146.00,105,8825.00,99,8551.00

Scenario_4_Premium,Individual,35.00,138,4830.00,128,4480.00,119,4165.00,111,3885.00,103,3605.00,96,3360.00,89,3115.00,83,2905.00,77,2695.00,72,2520.00,67,2345.00,62,2170.00,58,2030.00
Scenario_4_Premium,Team,119.00,69,8211.00,64,7616.00,60,7140.00,56,6664.00,52,6188.00,48,5712.00,45,5355.00,42,4998.00,39,4641.00,36,4284.00,34,4046.00,32,3808.00,30,3570.00
Scenario_4_Premium,Enterprise,299.00,18,5382.00,17,5083.00,16,4784.00,15,4485.00,14,4186.00,13,3887.00,12,3588.00,11,3289.00,10,2990.00,10,2990.00,9,2691.00,8,2392.00,8,2392.00
Scenario_4_Premium,Dedicated,899.00,5,4495.00,5,4495.00,5,4495.00,5,4495.00,5,4495.00,4,3596.00,4,3596.00,4,3596.00,4,3596.00,4,3596.00,4,3596.00,3,2697.00,3,2697.00
Scenario_4_Premium,TOTAL,N/A,230,22918.00,214,21674.00,200,20584.00,187,19529.00,174,18474.00,161,16555.00,150,15654.00,140,14788.00,130,13922.00,122,13390.00,114,12678.00,105,11067.00,99,10689.00

Scenario_5_Hybrid,Individual,22.00,138,3036.00,128,2816.00,119,2618.00,111,2442.00,103,2266.00,96,2112.00,89,1958.00,83,1826.00,77,1694.00,72,1584.00,67,1474.00,62,1364.00,58,1276.00
Scenario_5_Hybrid,Team,95.00,69,6555.00,64,6080.00,60,5700.00,56,5320.00,52,4940.00,48,4560.00,45,4275.00,42,3990.00,39,3705.00,36,3420.00,34,3230.00,32,3040.00,30,2850.00
Scenario_5_Hybrid,Enterprise,249.00,18,4482.00,17,4233.00,16,3984.00,15,3735.00,14,3486.00,13,3237.00,12,2988.00,11,2739.00,10,2490.00,10,2490.00,9,2241.00,8,1992.00,8,1992.00
Scenario_5_Hybrid,Dedicated,699.00,5,3495.00,5,3495.00,5,3495.00,5,3495.00,5,3495.00,4,2796.00,4,2796.00,4,2796.00,4,2796.00,4,2796.00,4,2796.00,3,2097.00,3,2097.00
Scenario_5_Hybrid,TOTAL,N/A,230,17568.00,214,16624.00,200,15797.00,187,14992.00,174,14187.00,161,12705.00,150,12017.00,140,11351.00,130,10685.00,122,10290.00,114,9741.00,105,8493.00,99,8215.00

Scenario_6_Constrained_15pct,Individual,15.00,138,2070.00,128,1920.00,119,1785.00,111,1665.00,103,1545.00,96,1440.00,89,1335.00,83,1245.00,77,1155.00,72,1080.00,67,1005.00,62,930.00,58,870.00
Scenario_6_Constrained_15pct,Team,45.00,69,3105.00,64,2880.00,60,2700.00,56,2520.00,52,2340.00,48,2160.00,45,2025.00,42,1890.00,39,1755.00,36,1620.00,34,1530.00,32,1440.00,30,1350.00
Scenario_6_Constrained_15pct,Enterprise,120.00,18,2160.00,17,2040.00,16,1920.00,15,1800.00,14,1680.00,13,1560.00,12,1440.00,11,1320.00,10,1200.00,10,1200.00,9,1080.00,8,960.00,8,960.00
Scenario_6_Constrained_15pct,Dedicated,385.00,5,1925.00,5,1925.00,5,1925.00,5,1925.00,5,1925.00,4,1540.00,4,1540.00,4,1540.00,4,1540.00,4,1540.00,4,1540.00,3,1155.00,3,1155.00
Scenario_6_Constrained_15pct,TOTAL,N/A,230,9260.00,214,8765.00,200,8330.00,187,7910.00,174,7490.00,161,6700.00,150,6340.00,140,5995.00,130,5650.00,122,5440.00,114,5155.00,105,4485.00,99,4335.00

Scenario_7_Constrained_40pct,Individual,18.00,138,2484.00,128,2304.00,119,2142.00,111,1998.00,103,1854.00,96,1728.00,89,1602.00,83,1494.00,77,1386.00,72,1296.00,67,1206.00,62,1116.00,58,1044.00
Scenario_7_Constrained_40pct,Team,58.00,69,4002.00,64,3712.00,60,3480.00,56,3248.00,52,3016.00,48,2784.00,45,2610.00,42,2436.00,39,2262.00,36,2088.00,34,1972.00,32,1856.00,30,1740.00
Scenario_7_Constrained_40pct,Enterprise,148.00,18,2664.00,17,2516.00,16,2368.00,15,2220.00,14,2072.00,13,1924.00,12,1776.00,11,1628.00,10,1480.00,10,1480.00,9,1332.00,8,1184.00,8,1184.00
Scenario_7_Constrained_40pct,Dedicated,424.00,5,2120.00,5,2120.00,5,2120.00,5,2120.00,5,2120.00,4,1696.00,4,1696.00,4,1696.00,4,1696.00,4,1696.00,4,1696.00,3,1272.00,3,1272.00
Scenario_7_Constrained_40pct,TOTAL,N/A,230,11270.00,214,10652.00,200,10110.00,187,9586.00,174,9062.00,161,8132.00,150,7684.00,140,7254.00,130,6824.00,122,6560.00,114,6206.00,105,5428.00,99,5240.00
